,title,year,kind,genre,rating,vote,country,language,cast,director,writer,runtime
456,Death in a French Garden,1985.0,movie,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",7.0,1408.0,['France'],['French'],"['Anémone', 'Richard Bohringer', 'Nicole Garcia', 'Christophe Malavoy', 'Michel Piccoli', 'Anaïs Jeanneret', 'Jean-Claude Jay', 'Hélène Roussel', 'Élisabeth Vitali', 'Franck de la Personne', 'Daniel Vérité']",['Michel Deville'],"['René Belletto', 'Michel Deville', 'Rosalinde Deville']",50.0
457,Horrorplanet,1981.0,movie,"['Horror', 'Sci-Fi']",4.0,3422.0,['United Kingdom'],['English'],"['Robin Clarke', 'Jennifer Ashley', 'Stephanie Beacham', 'Steven Grives', 'Barrie Houghton', 'Rosalind Lloyd', 'Victoria Tennant', 'Trevor Thomas', 'Heather Wright', 'David Baxt', 'Dominic Jephcott', 'John Segal', ""Kevin O'Shea"", 'Robert Pugh', 'Judy Geeson', 'Nick Maley']",['Norman J. Warren'],"['Nick Maley', 'Gloria Maley']",114.0
458,The Trouble with Harry,1955.0,movie,"['Comedy', 'Mystery']",7.1,36647.0,['United States'],['English'],"['Edmund Gwenn', 'John Forsythe', 'Mildred Natwick', 'Mildred Dunnock', 'Jerry Mathers', 'Royal Dano', 'Parker Fennelly', 'Barry Macollum', 'Dwight Marfield', 'Shirley MacLaine', 'Ernest Curt Bach', 'Alfred Hitchcock', 'Philip Truex', 'Leslie Woolf']",['Alfred Hitchcock'],"['John Michael Hayes', 'Jack Trevor Story']",86.0
459,Teorema,1968.0,movie,"['Drama', 'Mystery']",7.2,12908.0,['Italy'],"['Italian', 'English', 'Spanish']","['Silvana Mangano', 'Terence Stamp', 'Massimo Girotti', 'Anne Wiazemsky', 'Laura Betti', 'Andrés José Cruz Soublette', 'Ninetto Davoli', 'Carlo De Mejo', 'Adele Cambria', 'Luigi Barbini', 'Giovanni Ivan Scratuglia', 'Alfonso Gatto', 'Cesare Garboli', 'Susanna Pasolini']",['Pier Paolo Pasolini'],['Pier Paolo Pasolini'],30.0
460,The Pirate Movie,1982.0,movie,"['Adventure', 'Comedy', 'Musical', 'Romance']",5.4,4286.0,['Australia'],['English'],"['Kristy McNichol', 'Christopher Atkins', 'Ted Hamilton', 'Bill Kerr', 'Maggie Kirkpatrick', 'Garry McDonald', 'Chuck McKinney', 'Marc Colombani', 'Linda Nagle', 'Kate Ferguson', 'Rhonda Burchmore', 'Catherine Lynch', 'John Alansu', 'Paul Graham', 'Bernard Ledger', 'Nic Gazzana', 'Richard Boué', 'Chris Hession', 'Stephen Fyfield', 'Kjell Nilsson', 'Peter Pantellic', 'Tony Deary', 'Harry Morris', 'Roy Dudley', 'Roger Ward', ""Gene Del'Mace"", 'Ian Mortimer', 'George Novak', 'George Zakaria', 'Kurt von Schneider', 'Zev Eleftheriou', 'Edward Brodsky-Schuster', 'Pamela Jones', 'Kerryn Henderson', 'Margot Knight', 'Marie T. Ploski', 'Anna Logan', 'Aleeta Northey', ""Gai O'Meley"", 'Cheryl Heazlewood', 'Stephen Leeder', 'Clayton Mitchell', 'Iain Murton', 'Colin Setches', 'Bruno Annetta', 'William Binks', 'Peter Braendler', 'Phil Brock', 'Bill Handley', 'Peter Hosking', 'Michael Lake', 'Stephen Clark', 'Paul Fyfield', 'Frank Howson', 'Tim Hughes', 'William Kerr', 'Des McKenna', 'John Mesarov', 'Kevin Summers', 'Glenn Ruehland', 'Andris Toppe', 'David Swann', ""John O'Connell"", 'Chris Peters', 'Clive Hearne', 'Ben Joseph', 'Miles Peters', 'Gary Felsinger', 'Ransley Mascurine', 'Sami Kfouri', 'Martin Copping', 'Stan Rodarte']",['Ken Annakin'],"['W.S. Gilbert', 'Trevor Farrant']",122.0
461,"Paradise, Hawaiian Style",1966.0,movie,"['Comedy', 'Musical']",5.6,2016.0,['United States'],"['English', 'Polynesian']","['Elvis Presley', 'Suzanna Leigh', 'James Shigeta', 'Donna Butterworth', 'Marianna Hill', 'Irene Tsu', 'Linda Wong', 'Julie Parrish', 'Jan Shepard', 'John Doucette', 'Grady Sutton', 'Doris Packer', 'Don Collier', 'Philip Ahn', 'Mary Treen', 'Gigi Verone', 'John Benson', 'Makee K. Blaisdell', 'Jackie Brown', 'Jeff Brown', 'Fred Carson', 'Arlene Charles', 'William Core', 'Walt Davis', 'Vince Eder', 'Chanin Hale', 'Ralph Hanalei', 'Jerry James', 'Sandy Kawelo', 'Hubie Kerns', 'Lloyd Kino', 'China Lee', 'Leon Lontoc', 'Deanna Lund', 'Miko Mayama', 'James Miller', 'Hans Moebus', 'Ann Morell', 'Max Power', 'Frieda Rentie', 'Tiki Santos', 'Lukas Shimatsu', 'Randy Stone', 'Blaine Turner', 'Red West', 'Edy Williams']",['Michael D. Moore'],"['Allan Weiss', 'Anthony Lawrence', 'Allan Weiss']",180.0
462,Ride or Die,2003.0,video movie,"['Action', 'Crime', 'Romance', 'Thriller']",4.2,851.0,['United States'],['English'],"['Duane Martin', 'Vivica A. Fox', 'Meagan Good', 'Michael Taliferro', 'Jadakiss', 'Geoffrey Blake', 'Daniel Dae Kim', 'Brooklyn McLinn', 'Sticky Fingaz', 'Iona Morris', 'Miranda Kwok', 'Stacey Dash', 'Gabrielle Union', 'Faizon Love', 'Zachary Isaiah Williams', 'Monica DeAngelis', 'Darcy Donavan', 'Tanisha Grant', 'Myquan Jackson', 'Gwen McGee', 'Somaya Reece', 'Shadii', 'Summer Simmons', 'Smalls', 'Lauree Sugar', 'Oren Williams', 'William Shipman']",['Craig Ross Jr.'],"['Duane Martin', 'Jay Wolcott']",35.0
463,Darr,1993.0,movie,"['Action', 'Drama', 'Romance', 'Thriller']",7.8,23023.0,['India'],['Hindi'],"['Juhi Chawla', 'Sunny Deol', 'Shah Rukh Khan', 'Anupam Kher', 'Tanvi Azmi', 'Raj Hans', 'Annu Kapoor', 'Neena Softa', 'Piloo J. Wadia', 'Vikas Anand', 'Dalip Tahil']",['Yash Chopra'],"['Honey Irani', 'Honey Irani', 'Javed Siddiqui']",99.98411297440424
464,Pooh's Heffalump Halloween Movie,2005.0,video movie,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",6.6,1066.0,['United States'],['English'],"['Jimmy Bennett', 'Peter Cullen', 'Jim Cummings', 'John Fiedler', 'Ken Sansom', 'Kath Soucie', 'Kyle Stanger', 'David Ogden Stiers', 'Travis Oates', 'Michael Gough', 'Nikita Hopkins']","['Saul Blinkoff', 'Elliot M. Bour']","['Brian Hohlfeld', 'Evan Spiliotopoulos', 'A.A. Milne']",220.0
465,Yes Nurse! No Nurse!,2002.0,movie,"['Comedy', 'Musical']",6.7,1513.0,['Netherlands'],['Dutch'],"['Loes Luca', 'Tjitske Reidinga', 'Waldemar Torenstra', 'Edo Brunner', 'Lennart Vader', 'Beppe Costa', 'Paul Kooij', 'Paul de Leeuw', 'Frits Lambrechts', 'Pierre van Duijl', 'Raymonde de Kuyper', 'Trudy de Jong', 'Trudie Lute', 'Olga Zuiderhoek', 'Henk Stuurman', 'Henny Westerveld', 'Ad Knippels', 'Koos van der Knaap', 'Guus Dam', 'Joep Onderdelinden', 'Arjan Ederveen', 'Dylan Aziz', 'Jorgo Dimitriu', 'Gamze Güleç', 'Braz Keur', 'Loulou Keppy', 'Dorijn Curvers', 'Han van Eijk', 'Jody Pijper', 'Dian Senders', 'Ingrid Simons', 'Reinder van der Naalt', 'Hetty Blok']",['Pieter Kramer'],"['Harry Bannink', 'Frank Houtappels', 'Pieter Kramer']",91.0
466,Century of the Dragon,1999.0,movie,"['Action', 'Crime']",6.4,398.0,['Hong Kong'],['Cantonese'],"['Andy Lau', 'Louis Koo', 'Patrick Tam', 'Anthony Chau-Sang Wong', 'Suki Kwan', 'Tin-chiu Wan', 'Siu-Kei Lee', 'Fong Lung', 'Frankie Chi-Hung Ng', 'Yee-Man Man', 'Max Ho', 'Do-Yu Lee']",['Clarence Fok'],['Jing Wong'],100.0
467,The Duchess and the Dirtwater Fox,1976.0,movie,"['Comedy', 'Western']",5.7,1779.0,['United States'],"['English', 'Hebrew', 'French', 'German']","['George Segal', 'Goldie Hawn', 'Conrad Janis', 'Thayer David', 'Jennifer Lee Pryor', 'Sid Gould', 'Pat Ast', 'E.J. André', 'Richard Farnsworth', 'Clifford Turknett', 'Harlan Knudson', 'Jean Favre', 'Bill McLaughlin', 'Richard Jamison', 'Barbara Ulrich', 'John Alderson', 'Isle Kimble', 'Bill Lorenz', 'Jim Frank', 'Georgine Rozman', 'Kathy Christopher', 'Ellyn Stern', 'Peter Rachback', 'Jerry Taft', 'Prentiss Rowe', 'Ronald Colizzo', 'June Constable', 'Vern Porter', 'Glynn Rubin', 'Jerry Wills', 'Roy Jenson', 'Bob Hoy', 'Bennie E. Dobbins', 'Walter Scott', 'Jerry Gatlin', 'Rut Hawn', 'Dottie Lamm', 'Ron Lyle']",['Melvin Frank'],"['Melvin Frank', 'Barry Sandler', 'Jack Rose']",93.0
468,The Dimension Travelers,1999.0,movie,"['Drama', 'Sci-Fi']",5.5,181.0,['Japan'],['Japanese'],"['Timothy Breese Miller', 'J. David Brimmer', 'Jessica Calvello', 'Shannon Conley', 'Jake Eisbart', 'Masami Horiuchi', 'Dai Kanai', 'Kip Kaplan', 'Rachel Kaplan', 'Lynna Lewis', 'Bill Migliore', 'Linda Nader', 'Chiharu Niiyama', 'Ken Nishida', 'Yasue Satô', 'Ami Shukla', 'Eric Stuart', 'Masaaki Takarai', 'Satoshi Tsumabuki', 'Kat Van Damn']",['Kazuya Konaka'],"['Taku Mayumura', 'Sadayuki Murai', 'Kip Kaplan']",115.0
469,Second Nature,2003.0,tv movie,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller', 'War']",5.4,796.0,['United States'],['English'],"['Louise Lombard', ""Kurtis O'Brien"", 'Leigh Zimmerman', 'Alec Baldwin', 'Philip Jackson', 'Michele Austin', 'Powers Boothe', 'Pip Torrens', 'Courtney Rowan', 'Cornelia Winter', 'Daisy Donovan', 'Charlie Lucas', 'Clive Mantle', 'David Forrester', 'Garrick Hagon', 'Lorelei King', 'Cosima Shaw', 'Hassani Shapi', 'Ingvar Sigurdsson', 'Mouna Albakry', 'Karine Adrover', 'Jukka Hiltunen', 'Georgina Bouzova', 'Sharlene Whyte', 'Benedict Sandiford', 'Lucy Punch', 'Polly Kemp', 'Charles Cork', 'Steven Wickham', 'Corey Johnson', 'Jack Hind', 'Yasmin Paige', 'Virginia Bright', 'Bao Xian Fei', 'Essa Zahir']",['Ben Bolt'],['E. Max Frye'],118.0
470,Call Me: The Rise and Fall of Heidi Fleiss,2004.0,tv movie,"['Crime', 'Drama', 'Romance']",5.5,1218.0,['Canada'],['English'],"['Jamie-Lynn Sigler', 'Saul Rubinek', 'Emmanuelle Vaugier', 'Ian Tracey', 'Natassia Malthe', 'Blu Mankuma', 'Corbin Bernsen', 'Brenda Fricker', 'Robert Davi', 'Hrant Alianak', 'Griselle Amaro-Galvan', 'Jared Day', 'Crystal Balint', 'Kylie Beaven', 'Jim Calloway', 'Tom Carey', 'Lisa Marie Caruk', 'Skerivet Daramola', 'Joyce Doolittle', 'Dawson Dunbar', 'Talon Dunbar', 'Darcy Dunlop', 'Paul Dunphy', 'Chris Enright', 'Carey Feehan', 'Brandon Firla', 'Jessica Ray', 'Ashleigh Gryzko', 'Gail Hanrahan', 'Aileen Harley', 'Ron Hartmann', 'Susannah Hoffmann', 'Sarah Hyslop', 'David Joseph', 'Linda Kee', 'Tom Lim', 'D.J. Lockhart-Johnson', 'Melanie Lora', 'John Dylan Louie', 'Brian Martell', 'Richard Milne', 'Jay Morberg', 'Cris Nannarone', 'Missy Peregrym', 'Julia Poole', 'Joannah Portman', 'Heather Robertson', 'Marlene Saunders', 'Gery Schubert', 'Joe Norman Shaw', 'Darcy Shean', 'Aziza Sindhu', 'Jason Stewart', 'Brian Stollery', 'Bart Tangredi', 'Gianna Ryan Taylor', 'James Tsai', 'Stefanie von Pfetten', 'Stephen Warner', 'Jason B. Gleaves', 'Tanya Raisa', 'Dita de Leon', 'Barry Ratcliffe', 'Tony Sagastizado I', 'Jason Seelmann', 'Angela White', 'Nicola Wilson']",['Charles McDougall'],['Norman Snider'],93.0
471,The Fifth Musketeer,1979.0,movie,"['Action', 'Adventure', 'Romance']",5.3,727.0,"['Austria', 'West Germany']",['English'],"['Sylvia Kristel', 'Ursula Andress', 'Beau Bridges', 'Cornel Wilde', 'Ian McShane', 'Alan Hale Jr.', 'Lloyd Bridges', 'José Ferrer', 'Olivia de Havilland', 'Helmut Dantine', 'Rex Harrison', 'Román Ariznavarreta', 'Bernard Bresslaw', 'Stephan Bastian', 'Victor Couzyn', 'Karl Ferth', 'Fritz von Friedl', 'Christine Glasner', 'Fritz Goblirsch', 'Erhart Hartmann', 'Billy Horrigan', 'Michael Janisch', 'Cissy Kraner', 'Elisabeth Neumann-Viertel', 'Heinz Nick', 'Ingrid Olofson', 'Stephan Paryla', 'Albert Rueprecht', 'Ute Rumm', 'Tony Smart', 'Robert Werner', 'Heinz Winter', 'Stanley E. Foster', 'Patrick Pinney', 'Otto Retzer']",['Ken Annakin'],"['Alexandre Dumas', 'David Ambrose', 'George Bruce']",90.0
472,AFI's 100 Years... 100 Movies: America's Greatest Movies,1998.0,tv movie,['Documentary'],7.4,654.0,['United States'],['English'],"['Cher', 'Sally Field', 'Jodie Foster', 'Richard Gere', 'Woody Allen', 'Anne Bancroft', 'Candice Bergen', 'Halle Berry', 'Mel Brooks', 'Chevy Chase', 'Bill Clinton', 'David Copperfield', 'Walter Cronkite', 'Clint Eastwood', 'Larry Gelbart', 'Whoopi Goldberg', 'William Goldman', 'Charlton Heston', 'Dustin Hoffman', 'Samuel L. Jackson', 'James Earl Jones', 'Larry King', 'Tommy Lasorda', 'Ernest Lehman', 'Susan Lucci', 'Sidney Lumet', 'Dan Rather', 'Burt Reynolds', 'Julia Roberts', 'Martin Scorsese', 'Brooke Shields', 'Carly Simon', 'Gene Siskel', 'Steven Spielberg', 'Sylvester Stallone', 'Ben Stiller', 'Oliver Stone', 'Donald Trump', 'Ted Turner', 'Jack Valenti']","['Gary Smith', 'Dann Netter']","['Fred A. Rappoport', 'Marty Farrell', 'Gary Smith']",97.0
473,Disney Princess Stories Volume One: A Gift from the Heart,2004.0,video movie,"['Animation', 'Family']",6.7,40.0,['United States'],"['English', 'French']","['Corey Burton', 'Brian Cummings', 'Ashley Edner', 'Julian Jenson', 'Linda Larkin', ""Paige O'Hara"", 'Sydney Rainin-Smith', 'Andre Stojka', 'Russi Taylor']",['Benjamin Zev'],['Barbara M. Layman'],124.0
474,Chupacabra Terror,2005.0,video movie,['Horror'],3.5,1403.0,['United States'],['English'],"['John Rhys-Davies', 'Dylan Neal', 'Chelan Simmons', 'Giancarlo Esposito', 'Paula Shaw', 'David Millbern', 'Mark Viniello', 'Joe Miller', 'Matthew R. Anderson', 'Luke Darnell', 'David St. Pierre', 'Garon Michael', 'Luciano Olz', 'Scott Jolgen', 'Jason Pasquale', 'Kyle LeMire', 'Guy J. Graves', 'Javier Lobos', 'Sazzy Lee Calhoun', 'Jason Brunner', 'Nils Allen Stewart', 'Terrance Rodgers', 'Steve Jankowski', 'Jason Zimmerman', 'Lewis Fowler', 'Carlos Reza', 'Scott Putman', 'Richard Christensen Jr.', 'Scott Davis', 'Myna Gill', 'Brandon Klock']",['John Shepphird'],"['Steve Jankowski', 'John Shepphird']",224.0
475,To Grandmother's House We Go,1992.0,tv movie,"['Adventure', 'Family', 'Comedy']",5.8,2598.0,['United States'],['English'],"['Ashley Olsen', 'Mary-Kate Olsen', 'Rhea Perlman', 'Cynthia Geary', 'J. Eddie Peck', 'Stuart Margolin', 'Jerry Van Dyke', 'Rick Poltaruk', 'Leslie Carlson', 'Florence Paterson', 'Andrew Wheeler', 'Venus Terzo', 'Walter Marsh', 'Frank Lewis', 'Doreen Ramus', 'Byron Lucas', 'John Destry', 'Debbie Gregory', 'Lorena Gale', 'Andrea Barber', 'Candace Cameron Bure', 'Lori Loughlin', 'Michael Michelucci', 'Bob Saget']",['Jeff Franklin'],"['Jeff Franklin', 'Boyd Hale']",129.0
476,Sarah Brightman: Harem - A Desert Fantasy,2004.0,video movie,['Music'],8.4,71.0,['Germany'],['English'],['Sarah Brightman'],"['Rudi Dolezal', 'Hannes Rossacher']","['Rudi Dolezal', 'Hannes Rossacher']",91.0
477,Time Masters,1982.0,movie,"['Animation', 'Adventure', 'Sci-Fi']",7.4,5328.0,"['France', 'Switzerland', 'West Germany', 'United Kingdom', 'Hungary']",['French'],"['Jean Valmont', 'Michel Elias', 'Frédéric Legros', 'Yves-Marie Maurin', 'Monique Thierry', 'Sady Rebbot', 'Patrick Baujin', 'Pierre Tourneur', 'Alain Cuny', 'Yves Brainville', 'Michel Barbey', 'Jim Bauman', 'Michel Paulin', 'François Chaumette', 'Henry Djanik', 'Nick Storey', 'Gabriel Cattand', 'Georges Atlas']",['René Laloux'],"['Stefan Wul', 'René Laloux', ""Jean 'Moebius' Giraud""]",119.0
478,The Bogus Witch Project,2000.0,tv movie,['Comedy'],1.9,1170.0,['United States'],['English'],"['Pauly Shore', 'Cathy Giannone', 'James DiStefano', 'Frank Cassini', 'Joseph S. Griffo', 'Roger W. Morrissey', 'Jim Zulevic', 'Jerry Minor', 'Bryan Coffee', 'Michael Ian Black', 'Hyla Matthews', 'Wally Wingert', 'Jackie Harris Greenberg', 'Bil Dwyer', 'Paul Greenberg', 'Kayren Butler', 'Steve Agee', 'Kelly Aluise', 'Bino Bates', 'Eric Bram', 'Tracy Coley', 'Arin Cunningham', 'Jenna Leigh Green', 'Peter Hill', 'Whitney Jackson', 'Brian Klugman', 'Alex Mebane', 'Mark Mower', 'Mark Robert Ramsey', 'Adrian Redd', 'Brande Roderick', 'Crystal Scales', 'April Singleton', 'Shane Sinutko', 'Judd Trichter', 'Alec Tuckman', 'Knox White', 'Ali Woodson', 'Trevor Lawrence Young', 'Christopher Burdett', 'Dennis Woodruff']","['Victor Kargan', 'Steve Agee', 'Kelly Aluise']",['Sam Jaffe'],53.0
479,Carnival of Monsters: Episode Two,1973.0,episode,"['Adventure', 'Drama', 'Family', 'Sci-Fi']",7.8,438.0,['United Kingdom'],['English'],"['Jon Pertwee', 'Katy Manning', 'Tenniel Evans', 'Ian Marter', 'Jenny McCracken', 'Leslie Dwyer', 'Cheryl Hall', 'Peter Halliday', 'Michael Wisher', 'Terence Lodge', 'Rick Lester']",['Barry Letts'],"['Robert Holmes', 'Sydney Newman']",112.0
480,Phir Milenge,2004.0,movie,['Drama'],6.1,2078.0,['India'],['Hindi'],"['Salman Khan', 'Abhishek Bachchan', 'Shilpa Shetty Kundra', 'Mita Vashisht', 'Raja Krishnamoorthy', 'Kamalinee Mukherjee', 'Nassar', 'Rajeev Ravindranathan', 'Revathi', 'Somayajulu']",['Revathi'],['Atul Sabharwal'],55.0
481,Shaolin Ulysses: Kungfu Monks in America,2003.0,movie,['Documentary'],6.6,38.0,['United States'],"['English', 'Mandarin']","['Guolin Shi', 'Peng Zhang Li', 'Xing Hao Shi', 'De Shan Shi', 'Xing Hong Shi', 'Beau Bridges', 'David Ashburn', 'Jamel Brown', 'Adam Cempa', 'Dawn Dubois', 'Richard Russell', 'Julie Zhang']","['Martha Burr', 'Mei-Juin Chen']","['Martha Burr', 'Michael Cho']",90.0
482,The Twilight of the Golds,1996.0,movie,"['Drama', 'Romance']",6.5,1057.0,['United States'],['English'],"['Garry Marshall', 'Faye Dunaway', 'Jill Bernstein', 'Mark Shunkey', 'Jennifer Beals', 'Brendan Fraser', 'Jon Tenney', ""Sean O'Bryan"", 'John Schlesinger', ""Rosie O'Donnell"", 'Patrick Bristow', 'Rose Marks', 'Jill Lover', 'Robert Barry Fleming', 'Lucas Richman', 'Calvin Remsberg', ""Isadora O'Boto"", 'Kathleen Marshall', 'Judith Scarpone', 'Mark Medoff', 'John Davimos', 'Troy Nankin', 'Stephanie Niznik', 'David Rosen', 'David Millbern', 'Dale Franzen', 'Suzanna Guzmán', 'Gary Bachlund', 'Kagan Marks', 'Jack Klugman', 'Michelle Blakely']",['Ross Kagan Marks'],"['Jonathan Tolins', 'Jonathan Tolins', 'Seth Bass']",60.0
483,Moog,2004.0,movie,"['Documentary', 'History', 'Music']",6.2,617.0,['United States'],['English'],"['Charlie Clouser', 'Herbert Deutsch', 'Keith Emerson', 'Woody Jackson', 'Edd Kalehoff', 'Gershon Kingsley', 'Pamelia Kurstin', 'DJ Logic', 'Money Mark', 'Mix Master Mike', 'Robert Moog', 'Jean-Jacques Perrey', 'Walter E. Sear', 'DJ Spooky', 'Luke Vibert', 'Rick Wakeman', 'Bernie Worrell']",['Hans Fjellestad'],['Hans Fjellestad'],96.0
484,Hara-Kiri,1962.0,movie,"['Action', 'Drama', 'Mystery']",8.6,48962.0,['Japan'],['Japanese'],"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba', 'Masao Mishima', 'Ichirô Nakatani', 'Kei Satô', 'Yoshio Inaba', 'Hisashi Igawa', 'Tôru Takeuchi', 'Yoshirô Aoki', 'Tatsuo Matsumura', 'Akiji Kobayashi', 'Kôichi Hayashi', 'Ryûtarô Gomi', 'Jô Azumi', 'Nakajirô Tomita', 'Shichisaburô Amatsu', 'Kenzô Tanaka', 'Shin Nakahara', 'Tsuneo Ikeda', 'Minoru Miyagi', 'Takaaki Kadota', 'Ichirô Yûki', 'Gen Takasugi', 'Satoshi Nishida', 'Tetsurô Komiyama', 'Shûichirô Narita', 'Noboru Kasuga', 'Kenji Hayashi', 'Shôtarô Hayashi', 'Shimezô Kataoka', 'Fumiya Ozawa', 'Kônosuke Takemoto', 'Rentarô Mikuni']",['Masaki Kobayashi'],"['Yasuhiko Takiguchi', 'Shinobu Hashimoto']",110.0
485,Damn the Defiant!,1962.0,movie,"['Action', 'Drama', 'History', 'War']",7.1,2466.0,['United Kingdom'],"['English', 'French']","['Alec Guinness', 'Dirk Bogarde', 'Maurice Denham', 'Nigel Stock', 'Richard Carpenter', 'Peter Gill', 'David Robinson', 'Robin Stewart', 'Ray Brooks', 'Peter Greenspan', 'Anthony Quayle', 'Tom Bell', 'Murray Melvin', 'Victor Maddern', 'Bryan Pringle', 'Johnny Briggs', 'Brian Phelan', 'Toke Townley', 'Declan Mulholland', 'Walter Fitzgerald', 'Joy Shelton', 'Anthony Oliver', 'Russell Napier', 'Michael Coles', 'André Maranne', 'Joe Beckett', 'James Bolam', 'Tom Bowman', 'Vic Chapman', 'Maxwell Craig', 'Dick Gregory', 'Patrick Halpin', 'Walter Henry', 'Ann Lynn', 'Alf Mangan', 'Endre Muller', ""Jim O'Brady"", 'Arnold Schulkes', 'James Sharkey', 'Harry Webster']",['Lewis Gilbert'],"['Nigel Kneale', 'Edmund H. North', 'Frank Tilsley']",94.0
486,The Third Man,1949.0,movie,"['Film-Noir', 'Mystery', 'Thriller']",8.1,165033.0,['United Kingdom'],"['English', 'German', 'Russian']","['Joseph Cotten', 'Alida Valli', 'Orson Welles', 'Trevor Howard', 'Bernard Lee', 'Paul Hörbiger', 'Ernst Deutsch', 'Siegfried Breuer', 'Erich Ponto', 'Wilfrid Hyde-White', 'Hedwig Bleibtreu', 'Nelly Arno', 'Jack Arrow', 'Harold Ayer', 'Harry Belcher', 'Leo Bieber', 'Paul Birch', 'Martin Boddey', 'Madge Brindley', 'Robert Brown', 'Ray Browne', 'Robin Burns', 'Paul Carpenter', 'Marie-Louise Charlier', 'Alexis Chesnakov', 'Guy De Monceau', 'Reed De Rouen', 'Jack Faint', 'Peter Fontaine', 'Thomas Gallagher', 'Michael Godfrey', 'Theodore Gottlieb', 'Vernon Greeves', 'Herbert Halbik', 'Paul Hardtmuth', 'Walter Hertner', 'Charles Irwin', 'Lily Kann', 'Geoffrey Keen', 'Brookes Kyle', 'Martin Miller', 'Hannah Norbert', 'Eric Pohlmann', 'Carol Reed', 'Annie Rosar', 'Frederick Schrecker', 'Hugo Schuster', 'Karel Stepanek', 'Gordon Tanner', 'Ernst Ulman', 'Helga Wahlrow', 'Jenny Werner']",['Carol Reed'],"['Graham Greene', 'Graham Greene', 'Orson Welles']",93.0
487,Cracking the Code of Life,2001.0,episode,['Documentary'],7.0,21.0,['United States'],['English'],"['Paul Allen', 'Robert Krulwich']",['Elizabeth Arledge'],"['Elizabeth Arledge', 'Julia Cort']",115.0
488,Poison Ivy II,1996.0,movie,"['Drama', 'Thriller']",4.5,5772.0,['United States'],['English'],"['Alyssa Milano', 'Johnathon Schaech', 'Xander Berkeley', 'Belinda Bauer', 'Camilla Belle', 'Kathryne Dora Brown', 'Walter Kim', 'Victoria Haas', 'Tara Ellison', 'Mychal Wilson', 'Joey Krees', 'Kate Rodger', 'Howard Brown']",['Anne Goursaud'],['Chloe King'],6.0
489,Tae Guk Gi: The Brotherhood of War,2004.0,movie,"['Action', 'Drama', 'War']",8.0,38784.0,['South Korea'],['Korean'],"['Jang Dong-Gun', 'Won Bin', 'Eun-ju Lee', 'Hyeong-jin Kong', 'Yeong-ran Lee', 'Kil-kang Ahn', 'Jin Jung', 'Jae-hyeong Jeon', 'Min-ho Jang', 'Yun-hie Jo', 'Jang-Su Bae', 'Won-hee Cho', 'Do-Hee Go', 'Taek-ha Hwang', 'Dae-Hoon Jeong', 'Doo-hong Jung', 'Bo-kyeong Kim', 'Kyung-Hwan Kim', 'Soo-Ro Kim', 'Choi Min-sik', 'Ki-su Park', 'Sung-Mo Um', 'Joe Cappelletti', 'D.C. Douglas', 'Adam Epstein']",['Je-kyu Kang'],"['Richard Epcar', 'Ji-hoon Han', 'Je-kyu Kang']",99.98411297440424
490,A Very Natural Thing,1974.0,movie,"['Drama', 'Romance']",6.7,828.0,['United States'],['English'],"['Robert McLane', 'Curt Gareth', 'Bo White', 'Anthony McKay', 'Marilyn Meyers', 'Jay Pierce', 'Barnaby Rudge', 'A. Bailey Chapin', 'Scott Eisman', 'Michael Kell', 'Sheila Rock', 'Linda Weitz', 'Robert Grillo', 'Howard Blakey', 'George Diaz', 'Deborah Trowbridge', 'Jesse Trowbridge', 'Jose Aponte', 'Chris Ballant', 'Mel Barth', 'Roy Berman', 'Roy Berndt', 'Windsor Boyd', 'Larry Burns', 'David Campos', 'Tony Cedar', 'Thomas Chang', 'Astrida Cimdins', 'Rhodes Cox', 'John Damon', 'Christopher Estridge', 'Robert Ellis', 'Jerry Ent', 'Reginald Eley', 'Jack Firestone', 'Stephen Harvey', 'Arnie Kantrowitz', 'Kathy Kesler', 'Bernard Lewis', 'Billy Longo', 'Michael Lavery', 'Fred Mannara Jr.', 'Lou Miranda', 'Alan Moldow', 'Dina Moore', 'Bobby Niles', 'Edward Ouger', 'John Parr', 'Tommy Riscica', 'Jane Roseman', 'Vito Russo', 'Ben Simon', 'Stod', 'Paul Vanase', 'Frank Ventgen', 'Martin Wade', 'Grove Wood', 'Kim Yesse', 'Ray Zarr']",['Christopher Larkin'],"['Joseph Coencas', 'Joseph Coencas', 'Christopher Larkin']",60.0
491,Charades,1998.0,movie,"['Drama', 'Mystery']",5.1,425.0,['United States'],['English'],"['Erika Eleniak', 'James Wilder', 'C. Thomas Howell', 'Kimberley Kates', 'Jack Scalia', 'Karen Black', 'James Russo', 'Richard Hillman', 'Robert Fields', 'James Andronica', 'Robert Hoffmo', 'Don Moss', 'Zoe Clarke-Williams', 'Jann Karam', 'Niklaus Lang', 'Keith Odett', 'Tim Colceri']",['Stephen Eckelberry'],"['Richmond Riedel', 'Karen Black', 'Richmond Riedel']",100.0
